feature,mean_abs_shap
spread1,1.3578138290236803
MDVP:Fhi(Hz),0.6641374670267739
PPE,0.6255133953108415
spread2,0.5418548073710034
NHR,0.5193339436324261
RPDE,0.48626696018275506
MDVP:Fo(Hz),0.3629842493816859
D2,0.3582251105684501
HNR,0.32503781550214866
MDVP:RAP,0.2685842815700767
Shimmer:APQ5,0.14794454919487582
DFA,0.14007057551982863
MDVP:Flo(Hz),0.0954015616611325
MDVP:APQ,0.08892765000744078
MDVP:Jitter(Abs),0.08383353133203669
MDVP:Jitter(%),0.07624551412677305
MDVP:PPQ,0.02209999175539626
Shimmer:DDA,0.0
Jitter:DDP,0.0
Shimmer:APQ3,0.0
MDVP:Shimmer,0.0
MDVP:Shimmer(dB),0.0
