feature,mean_abs_shap
spread1,0.11282830666763725
PPE,0.10826186373338184
MDVP:Flo(Hz),0.06322822928165979
spread2,0.0522699666471429
MDVP:Fo(Hz),0.03801968655845545
Shimmer:APQ5,0.033267902088102465
MDVP:RAP,0.029426011012441314
MDVP:APQ,0.029120105741236902
D2,0.02558825713660719
MDVP:Shimmer,0.023578440572985852
RPDE,0.02012700207483995
DFA,0.015505976726952943
Jitter:DDP,0.01489850968788745
MDVP:Fhi(Hz),0.01329462945159376
MDVP:PPQ,0.012857370794817762
NHR,0.009250292329041938
MDVP:Jitter(Abs),0.00898962867672176
HNR,0.007929068033440106
MDVP:Jitter(%),0.005155785953716285
Shimmer:DDA,0.0040517491982977995
MDVP:Shimmer(dB),0.003346899595219709
Shimmer:APQ3,0.0018103765865242858
