feature,mean_abs_shap
PPE,0.0797557981132118
spread1,0.05215094187920607
RPDE,0.029652057419590174
spread2,0.026773271153776344
MDVP:Jitter(%),0.023035027771776777
Shimmer:APQ5,0.017642017916664077
MDVP:APQ,0.016631492361188594
DFA,0.01283265121679546
MDVP:Fhi(Hz),0.011758931416469304
MDVP:RAP,0.010812189215020767
MDVP:Fo(Hz),0.010772528091848988
Jitter:DDP,0.008376198733016097
D2,0.008312682507110682
NHR,0.008157792421343653
MDVP:Flo(Hz),0.006220116394225615
MDVP:Jitter(Abs),0.0052861749216292185
Shimmer:DDA,0.004090244854195569
Shimmer:APQ3,0.003953169916221435
MDVP:PPQ,0.0024938640370717044
MDVP:Shimmer,0.0008850397976012824
HNR,0.0006729084449606624
MDVP:Shimmer(dB),0.0006465315898935136
