Model,Dataset,Features,BA_mean,BA_std,F1_mean,F1_std,n_folds,Outliers
SVM,A,All features,0.714,0.382,0.625,0.401,32,With
LR,A,All features,0.7,0.36,0.579,0.375,32,With
RF,A,All features,0.771,0.381,0.707,0.402,32,With
HGB,A,All features,0.73,0.358,0.637,0.385,32,With
SVM,A,Jitter+Shimmer,0.624,0.409,0.554,0.416,32,With
LR,A,Jitter+Shimmer,0.666,0.385,0.61,0.404,32,With
RF,A,Jitter+Shimmer,0.714,0.376,0.627,0.396,32,With
HGB,A,Jitter+Shimmer,0.653,0.359,0.562,0.384,32,With
SVM,B,All features,0.712,0.356,0.583,0.374,32,With
LR,B,All features,0.673,0.381,0.564,0.388,32,With
RF,B,All features,0.755,0.386,0.701,0.406,32,With
HGB,B,All features,0.746,0.354,0.676,0.385,32,With
SVM,B,Jitter+Shimmer,0.641,0.388,0.55,0.396,32,With
LR,B,Jitter+Shimmer,0.648,0.385,0.554,0.392,32,With
RF,B,Jitter+Shimmer,0.685,0.38,0.6,0.399,32,With
HGB,B,Jitter+Shimmer,0.584,0.397,0.509,0.403,32,With
SVM,A,All features,0.667,0.384,0.574,0.398,30,Without
LR,A,All features,0.604,0.388,0.481,0.374,30,Without
RF,A,All features,0.75,0.379,0.688,0.402,30,Without
HGB,A,All features,0.705,0.383,0.639,0.405,30,Without
SVM,A,Jitter+Shimmer,0.598,0.416,0.538,0.425,30,Without
LR,A,Jitter+Shimmer,0.633,0.401,0.575,0.415,30,Without
RF,A,Jitter+Shimmer,0.692,0.357,0.59,0.381,30,Without
HGB,A,Jitter+Shimmer,0.698,0.351,0.593,0.379,30,Without
SVM,B,All features,0.683,0.372,0.567,0.382,30,Without
LR,B,All features,0.683,0.375,0.6,0.394,30,Without
RF,B,All features,0.757,0.389,0.688,0.407,30,Without
HGB,B,All features,0.711,0.371,0.61,0.389,30,Without
SVM,B,Jitter+Shimmer,0.726,0.335,0.624,0.371,30,Without
LR,B,Jitter+Shimmer,0.598,0.407,0.542,0.417,30,Without
RF,B,Jitter+Shimmer,0.716,0.378,0.644,0.402,30,Without
HGB,B,Jitter+Shimmer,0.673,0.34,0.554,0.362,30,Without
