feature,mean_abs_shap
spread2,0.9792719261916009
MDVP:Fo(Hz),0.5711956994456849
PPE,0.5500193719281521
MDVP:Fhi(Hz),0.5086507524396989
spread1,0.47084292461124316
DFA,0.4213204240206266
Shimmer:APQ5,0.3694470522167833
D2,0.34428368656730773
NHR,0.3264575028333999
MDVP:RAP,0.24943728490247952
MDVP:APQ,0.18307747771836694
RPDE,0.1661816489317003
MDVP:Jitter(%),0.08891187283118358
HNR,0.08301145849406717
Shimmer:APQ3,0.06784302099106448
MDVP:Shimmer(dB),0.06589680181560614
MDVP:Flo(Hz),0.06474544123783764
MDVP:Jitter(Abs),0.059764190687004545
MDVP:PPQ,0.031505148195287346
MDVP:Shimmer,0.020880349731332747
Shimmer:DDA,0.014481029354428535
Jitter:DDP,0.0017080193144986006
