feature,mean_abs_shap
spread2,0.8967290804177245
spread1,0.6988561296395464
MDVP:Fo(Hz),0.5979201184071802
MDVP:Fhi(Hz),0.5751385741569508
PPE,0.4967322618503411
Shimmer:APQ5,0.4966592697227664
DFA,0.34580115807463907
MDVP:RAP,0.30055626465752483
D2,0.27993760691803593
NHR,0.23686266050031787
MDVP:Jitter(Abs),0.20617552115341653
RPDE,0.18185447108528163
HNR,0.13445732520311915
MDVP:Shimmer(dB),0.13250400198708506
MDVP:Jitter(%),0.11173006964323862
MDVP:APQ,0.10757078953360827
Shimmer:APQ3,0.09948034214266109
MDVP:Flo(Hz),0.04140897782832412
MDVP:PPQ,0.03585097929238468
MDVP:Shimmer,0.02672146290965466
Shimmer:DDA,0.01596729775384866
Jitter:DDP,0.0016552430537981003
