feature,mean_abs_shap
MDVP:PPQ,0.7762960918179558
spread1,0.7733304462406683
MDVP:RAP,0.7124952495782189
MDVP:APQ,0.42438802457252395
PPE,0.35532209820894123
Jitter:DDP,0.32966960746736723
MDVP:Jitter(%),0.30995139971113056
DFA,0.2206535812729605
spread2,0.17966096704359608
Shimmer:APQ5,0.16047354610298914
NHR,0.15285097565388575
Shimmer:DDA,0.1314895368437646
D2,0.11461625875609559
MDVP:Fo(Hz),0.07878918522960476
RPDE,0.06322809432854767
MDVP:Jitter(Abs),0.04205738239366066
MDVP:Fhi(Hz),0.03768729155224776
HNR,0.017950388605341656
MDVP:Flo(Hz),0.017436242008948805
Shimmer:APQ3,0.016560258211778173
MDVP:Shimmer,0.008026686465480496
MDVP:Shimmer(dB),0.00606231736442001
