MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08018465389073931,0.0,0.0,-0.0,-0.0,0.0,0.6120123355909661,0.1065950622032945,-0.0050731988446711,0.46448658976492424
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16267236439498806,0.0,0.0,-0.0,-0.0,0.0,0.9439641890799415,0.2700497631526666,0.02448977176243282,0.7406147654443221
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12069017446444386,0.0,-0.0,-0.0,-0.0,0.0,0.785186472247479,0.21229851245693207,0.0016342873402672383,0.6307884307725641
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13127452275736357,0.0,-0.0,-0.0,-0.0,0.0,0.9263283145614473,0.26663676996128594,0.011807855485752762,0.7414860590253468
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16737326439808928,0.0,0.0,-0.0,-0.0,0.0,1.0754910444295849,0.03098177091067311,-1.1070596708065145e-05,0.8549156305194456
-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989335328546202,0.0,-0.0,-0.0,-0.0,0.0,0.8731530361204659,0.18376938988282604,-0.024436092098494643,0.7085770260816469
-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1194121397638396,-0.0,-0.0,0.0,0.0,0.0,0.1646621637798899,0.08188139686079732,-0.11381961215792182,0.10511196929577918
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1395113257637758,-0.0,-0.0,0.0,0.0,0.0,-0.22643825090694406,-0.07483448980285104,-0.06004853385943471,-0.10591601519382676
-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.053327226686738824,-0.0,-0.0,0.0,0.0,0.0,0.2541362098942696,0.2303886689176261,-0.0010340853035039838,0.178544650257471
-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.04399654860095697,0.0,-0.0,0.0,0.0,0.0,0.5486859592224519,0.22663186104517108,0.022232499512519852,0.30871539813455295
-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02657281249082941,-0.0,-0.0,-0.0,0.0,0.0,0.409571820836488,0.3643730074393129,0.016952135415763386,0.24055178857772527
-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01675164774170283,0.0,-0.0,-0.0,0.0,0.0,0.5777792204872159,0.30623889531935977,0.06369789953739417,0.3224223658585748
