feature,mean_abs_shap
PPE,0.06112071550749512
spread1,0.04862738342564827
spread2,0.03341721379496159
MDVP:Fhi(Hz),0.02441718378120312
MDVP:APQ,0.02378632222728157
Shimmer:APQ5,0.021684739146010087
MDVP:Fo(Hz),0.020003830466082544
MDVP:Shimmer,0.015164126022360365
MDVP:RAP,0.014925351962368019
D2,0.01405376428988095
Jitter:DDP,0.01388970341243637
MDVP:Shimmer(dB),0.011027612762882489
DFA,0.011020580355813759
NHR,0.01011512921165206
Shimmer:APQ3,0.010034661430383628
MDVP:Flo(Hz),0.007359780674870652
RPDE,0.0062223545133885194
Shimmer:DDA,0.005887904291436102
HNR,0.005314377624145423
MDVP:Jitter(Abs),0.004837180090903693
MDVP:Jitter(%),0.0038744961947547512
MDVP:PPQ,0.0033173818886087078
