feature,mean_abs_shap
PPE,0.053895807308699965
spread1,0.04900395931037147
MDVP:Fhi(Hz),0.030980363061472078
spread2,0.028604200198223958
MDVP:Fo(Hz),0.02515461535361965
MDVP:RAP,0.023306028228211043
Shimmer:APQ5,0.01902111597455818
MDVP:APQ,0.018204725582160974
Jitter:DDP,0.01417065274636655
D2,0.013937626133711143
MDVP:Shimmer,0.013657752576935066
DFA,0.012188285628327099
NHR,0.011830486187239624
MDVP:Flo(Hz),0.009624742210641702
MDVP:Shimmer(dB),0.009268035116436153
Shimmer:DDA,0.0077511670290257685
RPDE,0.007136090200492192
MDVP:Jitter(Abs),0.007035818476379756
HNR,0.006919337847577984
Shimmer:APQ3,0.005913232695081081
MDVP:PPQ,0.0046167715068781935
MDVP:Jitter(%),0.0038156351454638883
