feature,mean_abs_shap
PPE,0.20348061494816078
spread2,0.17740427364291328
spread1,0.15339897346569561
MDVP:RAP,0.15095538500886732
DFA,0.13527435558308415
MDVP:PPQ,0.12794397298523502
MDVP:Jitter(%),0.11080234012052602
Jitter:DDP,0.11079092893135938
MDVP:Jitter(Abs),0.1035794906121806
D2,0.10107889453585121
MDVP:Fo(Hz),0.09120305550468318
RPDE,0.07532033425783806
NHR,0.060212194870366914
MDVP:Fhi(Hz),0.05926732603779271
Shimmer:APQ3,0.053347612501291074
Shimmer:DDA,0.05120240574695132
MDVP:APQ,0.051011552443502375
HNR,0.04627595297402157
Shimmer:APQ5,0.04322446281535829
MDVP:Shimmer,0.04004562914341434
MDVP:Shimmer(dB),0.03824226661882035
MDVP:Flo(Hz),0.03405697046187557
