feature,mean_abs_shap
PPE,0.1632964601306035
spread2,0.15158569858504278
spread1,0.13504448127938037
MDVP:RAP,0.12706607721175464
DFA,0.10472520209072678
Jitter:DDP,0.09768409344102019
MDVP:PPQ,0.09534635250732765
D2,0.0841181086339681
MDVP:Fo(Hz),0.07916734586807549
MDVP:Jitter(%),0.07736838001327719
MDVP:Jitter(Abs),0.07358084071719916
RPDE,0.0563561182693397
NHR,0.05583563661364698
MDVP:Fhi(Hz),0.05205213293280633
Shimmer:APQ3,0.05133796755371824
Shimmer:DDA,0.05120403933612066
MDVP:APQ,0.04439526068818055
HNR,0.03851250559197458
Shimmer:APQ5,0.03643757547761248
MDVP:Flo(Hz),0.03541777150208612
MDVP:Shimmer,0.033537769998556025
MDVP:Shimmer(dB),0.03225565443129166
